 numero_orden;fecha_orden;propina_orden;hora_de_cobro_orden; atendio_orden;id_cliente1;id_mesero1
1;2014-02-01;0,07;18:43;Rodolfo;1;1
1;2014-02-01;0,07;18:43;Rodolfo;2;2
1;2014-02-01;0,07;18:43;Rodolfo;3;3
1;2014-02-01;0,07;18:43;Rodolfo;4;4
1;2014-02-01;0,07;18:43;Rodolfo;5;5
1;2014-02-01;0,07;18:43;Rodolfo;6;6
17;2015-01-30;0,2;23:59;Mauricio;7;7
17;2015-01-30;0,2;23:59;Mauricio;8;8
17;2015-01-30;0,2;23:59;Mauricio;9;9
17;2015-01-30;0,2;23:59;Mauricio;10;10
17;2015-01-30;0,2;23:59;Mauricio;11;11
17;2015-01-30;0,2;23:59;Mauricio;12;12
17;2015-01-30;0,2;23:59;Mauricio;13;13
17;2015-01-30;0,2;23:59;Mauricio;14;14
17;2015-01-30;0,2;23:59;Mauricio;15;15
17;2015-01-30;0,2;23:59;Mauricio;16;16
17;2015-01-30;0,2;23:59;Mauricio;17;17
17;2015-01-30;0,2;23:59;Mauricio;18;18
17;2015-01-30;0,2;23:59;Mauricio;19;19
17;2015-01-30;0,2;23:59;Mauricio;20;20
17;2015-01-30;0,2;23:59;Mauricio;21;21
17;2015-01-30;0,2;23:59;Mauricio;22;22
17;2015-01-30;0,2;23:59;Mauricio;23;23
17;2015-01-30;0,2;23:59;Mauricio;24;24
17;2015-01-30;0,2;23:59;Mauricio;25;25
1;2014-04-21;0,09;19:12;Joel;26;26
1;2014-04-21;0,09;19:12;Joel;27;27
1;2014-04-21;0,09;19:12;Joel;28;28
1;2014-04-21;0,09;19:12;Joel;29;29
1;2014-04-21;0,09;19:12;Joel;30;30
1;2014-04-21;0,09;19:12;Joel;31;31
1;2014-04-21;0,09;19:12;Joel;32;32
1;2014-04-21;0,09;19:12;Joel;33;33
1;2014-04-21;0,09;19:12;Joel;34;34
6;2015-01-09;0,2;22:48;Mauricio;35;35
6;2015-01-09;0,2;22:48;Mauricio;36;36
6;2015-01-09;0,2;22:48;Mauricio;37;37
6;2015-01-09;0,2;22:48;Mauricio;38;38
6;2015-01-09;0,2;22:48;Mauricio;39;39
6;2015-01-09;0,2;22:48;Mauricio;40;40
6;2015-01-09;0,2;22:48;Mauricio;41;41
6;2015-01-09;0,2;22:48;Mauricio;42;42
6;2015-01-09;0,2;22:48;Mauricio;43;43
6;2015-01-09;0,2;22:48;Mauricio;44;44
6;2015-01-09;0,2;22:48;Mauricio;45;45
6;2015-01-09;0,2;22:48;Mauricio;46;46
6;2015-01-09;0,2;22:48;Mauricio;47;47
6;2015-01-09;0,2;22:48;Mauricio;48;48
6;2015-01-09;0,2;22:48;Mauricio;49;49
6;2015-01-09;0,2;22:48;Mauricio;50;50
6;2015-01-09;0,2;22:48;Mauricio;51;51
6;2015-01-09;0,2;22:48;Mauricio;52;52
2;2014-03-25;0,16;21:21;Valentina;53;53
2;2014-03-25;0,16;21:21;Valentina;54;54
2;2014-03-25;0,16;21:21;Valentina;55;55
2;2014-03-25;0,16;21:21;Valentina;56;56
2;2014-03-25;0,16;21:21;Valentina;57;57
2;2014-03-25;0,16;21:21;Valentina;58;58
2;2014-03-25;0,16;21:21;Valentina;59;59
2;2014-03-25;0,16;21:21;Valentina;60;60
2;2014-03-25;0,16;21:21;Valentina;61;61
2;2014-03-25;0,16;21:21;Valentina;62;62
2;2014-03-25;0,16;21:21;Valentina;63;63
2;2014-03-25;0,16;21:21;Valentina;64;64
2;2014-03-25;0,16;21:21;Valentina;65;65
2;2014-03-25;0,16;21:21;Valentina;66;66
2;2014-03-25;0,16;21:21;Valentina;67;67
2;2014-03-25;0,16;21:21;Valentina;68;68
2;2014-03-25;0,16;21:21;Valentina;69;69
5;2014-06-03;0,06;20:38;Omar;70;70
5;2014-06-03;0,06;20:38;Omar;71;71
5;2014-06-03;0,06;20:38;Omar;72;72
5;2014-06-03;0,06;20:38;Omar;73;73
5;2014-06-03;0,06;20:38;Omar;74;74
5;2014-06-03;0,06;20:38;Omar;75;75
5;2014-06-03;0,06;20:38;Omar;76;76
5;2014-06-03;0,06;20:38;Omar;77;77
5;2014-06-03;0,06;20:38;Omar;78;78
5;2014-06-03;0,06;20:38;Omar;79;79
5;2014-06-03;0,06;20:38;Omar;80;80
5;2014-06-03;0,06;20:38;Omar;81;81
5;2014-06-03;0,06;20:38;Omar;82;82
4;2014-08-14;0,17;16:33;Joel;83;83
4;2014-08-14;0,17;16:33;Joel;84;84
4;2014-08-14;0,17;16:33;Joel;85;85
4;2014-08-14;0,17;16:33;Joel;86;86
4;2014-08-14;0,17;16:33;Joel;87;87
6;2014-08-31;0,08;21:36;Valentina;88;88
6;2014-08-31;0,08;21:36;Valentina;89;89
6;2014-08-31;0,08;21:36;Valentina;90;90
